case_id,seed,n,r_size,r_prime_size,deleted_count,expected_repair,oracle,singleton,fd_hash,bcnf,all_match,code_version
0,42,14,14,10,4,True,True,True,True,True,True,68869e6
1,42,15,15,11,4,True,True,True,True,True,True,68869e6
2,42,17,17,12,5,True,True,True,True,True,True,68869e6
3,42,18,18,13,5,True,True,True,True,True,True,68869e6
4,42,20,20,14,6,True,True,True,True,True,True,68869e6
5,42,21,21,15,6,True,True,True,True,True,True,68869e6
6,42,14,14,10,4,True,True,True,True,True,True,68869e6
7,42,15,15,11,4,True,True,True,True,True,True,68869e6
8,42,17,17,12,5,True,True,True,True,True,True,68869e6
9,42,18,18,13,5,True,True,True,True,True,True,68869e6
10,42,20,20,14,6,True,True,True,True,True,True,68869e6
11,42,21,21,15,6,True,True,True,True,True,True,68869e6
12,42,14,14,10,4,True,True,True,True,True,True,68869e6
13,42,15,15,11,4,True,True,True,True,True,True,68869e6
14,42,17,17,12,5,True,True,True,True,True,True,68869e6
15,42,18,18,13,5,True,True,True,True,True,True,68869e6
16,42,20,20,14,6,True,True,True,True,True,True,68869e6
17,42,21,21,15,6,True,True,True,True,True,True,68869e6
18,42,14,14,10,4,True,True,True,True,True,True,68869e6
19,42,15,15,11,4,True,True,True,True,True,True,68869e6
20,42,17,17,12,5,True,True,True,True,True,True,68869e6
21,42,18,18,13,5,True,True,True,True,True,True,68869e6
22,42,20,20,14,6,True,True,True,True,True,True,68869e6
23,42,21,21,15,6,True,True,True,True,True,True,68869e6
24,42,14,14,10,4,True,True,True,True,True,True,68869e6
25,42,15,15,11,4,True,True,True,True,True,True,68869e6
26,42,17,17,12,5,True,True,True,True,True,True,68869e6
27,42,18,18,13,5,True,True,True,True,True,True,68869e6
28,42,20,20,14,6,True,True,True,True,True,True,68869e6
29,42,21,21,15,6,True,True,True,True,True,True,68869e6
30,42,14,14,10,4,True,True,True,True,True,True,68869e6
31,42,15,15,11,4,True,True,True,True,True,True,68869e6
32,42,17,17,12,5,True,True,True,True,True,True,68869e6
33,42,18,18,13,5,True,True,True,True,True,True,68869e6
34,42,20,20,14,6,True,True,True,True,True,True,68869e6
35,42,21,21,15,6,True,True,True,True,True,True,68869e6
36,42,14,14,10,4,True,True,True,True,True,True,68869e6
37,42,15,15,11,4,True,True,True,True,True,True,68869e6
38,42,17,17,12,5,True,True,True,True,True,True,68869e6
39,42,18,18,13,5,True,True,True,True,True,True,68869e6
40,42,20,20,14,6,True,True,True,True,True,True,68869e6
41,42,21,21,15,6,True,True,True,True,True,True,68869e6
42,42,14,14,10,4,True,True,True,True,True,True,68869e6
43,42,15,15,11,4,True,True,True,True,True,True,68869e6
44,42,17,17,12,5,True,True,True,True,True,True,68869e6
45,42,18,18,13,5,True,True,True,True,True,True,68869e6
46,42,20,20,14,6,True,True,True,True,True,True,68869e6
47,42,21,21,15,6,True,True,True,True,True,True,68869e6
48,42,14,14,10,4,True,True,True,True,True,True,68869e6
49,42,15,15,11,4,True,True,True,True,True,True,68869e6
50,42,17,17,12,5,True,True,True,True,True,True,68869e6
51,42,18,18,13,5,True,True,True,True,True,True,68869e6
52,42,20,20,14,6,True,True,True,True,True,True,68869e6
53,42,21,21,15,6,True,True,True,True,True,True,68869e6
54,42,14,14,10,4,True,True,True,True,True,True,68869e6
55,42,15,15,11,4,True,True,True,True,True,True,68869e6
56,42,17,17,12,5,True,True,True,True,True,True,68869e6
57,42,18,18,13,5,True,True,True,True,True,True,68869e6
58,42,20,20,14,6,True,True,True,True,True,True,68869e6
59,42,21,21,15,6,True,True,True,True,True,True,68869e6
60,42,14,14,10,4,True,True,True,True,True,True,68869e6
61,42,15,15,11,4,True,True,True,True,True,True,68869e6
62,42,17,17,12,5,True,True,True,True,True,True,68869e6
63,42,18,18,13,5,True,True,True,True,True,True,68869e6
64,42,20,20,14,6,True,True,True,True,True,True,68869e6
65,42,21,21,15,6,True,True,True,True,True,True,68869e6
66,42,14,14,10,4,True,True,True,True,True,True,68869e6
67,42,15,15,11,4,True,True,True,True,True,True,68869e6
68,42,17,17,12,5,True,True,True,True,True,True,68869e6
69,42,18,18,13,5,True,True,True,True,True,True,68869e6
70,42,20,20,14,6,True,True,True,True,True,True,68869e6
71,42,21,21,15,6,True,True,True,True,True,True,68869e6
72,42,14,14,10,4,True,True,True,True,True,True,68869e6
73,42,15,15,11,4,True,True,True,True,True,True,68869e6
74,42,17,17,12,5,True,True,True,True,True,True,68869e6
75,42,18,18,13,5,True,True,True,True,True,True,68869e6
76,42,20,20,14,6,True,True,True,True,True,True,68869e6
77,42,21,21,15,6,True,True,True,True,True,True,68869e6
78,42,14,14,10,4,True,True,True,True,True,True,68869e6
79,42,15,15,11,4,True,True,True,True,True,True,68869e6
80,42,17,17,12,5,True,True,True,True,True,True,68869e6
81,42,18,18,13,5,True,True,True,True,True,True,68869e6
82,42,20,20,14,6,True,True,True,True,True,True,68869e6
83,42,21,21,15,6,True,True,True,True,True,True,68869e6
84,42,14,14,10,4,True,True,True,True,True,True,68869e6
85,42,15,15,11,4,True,True,True,True,True,True,68869e6
86,42,17,17,12,5,True,True,True,True,True,True,68869e6
87,42,18,18,13,5,True,True,True,True,True,True,68869e6
88,42,20,20,14,6,True,True,True,True,True,True,68869e6
89,42,21,21,15,6,True,True,True,True,True,True,68869e6
90,42,14,14,10,4,True,True,True,True,True,True,68869e6
91,42,15,15,11,4,True,True,True,True,True,True,68869e6
92,42,17,17,12,5,True,True,True,True,True,True,68869e6
93,42,18,18,13,5,True,True,True,True,True,True,68869e6
94,42,20,20,14,6,True,True,True,True,True,True,68869e6
95,42,21,21,15,6,True,True,True,True,True,True,68869e6
96,42,14,14,10,4,True,True,True,True,True,True,68869e6
97,42,15,15,11,4,True,True,True,True,True,True,68869e6
98,42,17,17,12,5,True,True,True,True,True,True,68869e6
99,42,18,18,13,5,True,True,True,True,True,True,68869e6
